id,sec,voltage,battery_remaining,current_drawn,ground_speed,air_speed,nav_roll,nav_pitch,nav_bearing,pitch,yaw,roll,alt,lat,lon,payload,distance_frm_home,velocity_x,velocity_y,velocity_z,mode,flight_time
49,98,15.543,87,14.03,0.04,0.04,NULL,NULL,305,-0.0149424,-0.955314,-0.00633305,2.55,37.5993996,126.8635571,NULL,NULL,0.06,0,0,LOITER,99.508
50,100,15.541,87,13.97,0.07,0.07,NULL,NULL,305,-0.0269915,-0.953721,-0.00264712,2.55,37.5993998,126.863558,NULL,NULL,0.02,-0.02,0.01,LOITER,101.522
51,102,15.536,87,14.08,0.07,0.07,NULL,NULL,305,-0.0280566,-0.950323,0.0018718,2.56,37.5993996,126.8635582,NULL,NULL,0.01,-0.04,0,LOITER,103.544
52,104,15.527,87,14,0.13,0.13,NULL,NULL,305,-0.0206142,-0.954529,0.0169951,2.58,37.599399,126.8635576,NULL,NULL,0,-0.07,-0.01,LOITER,105.559
53,106,15.521,87,13.64,0.01,0.01,NULL,NULL,305,-0.0153632,-0.950915,-7.37421E-06,2.56,37.5994001,126.8635579,NULL,NULL,0.07,0,0,LOITER,107.574
54,108,15.508,87,14.16,0.18,0.18,NULL,NULL,305,-0.0239008,-0.953445,0.00766915,2.54,37.5993999,126.8635578,NULL,NULL,-0.08,-0.07,0.01,LOITER,109.588
55,110,15.501,86,14.1,0.07,0.07,NULL,NULL,305,-0.0271838,-0.952945,0.0273045,2.56,37.5993987,126.8635569,NULL,NULL,0.06,0,0,LOITER,111.603
56,112,15.491,86,13.9,0.03,0.03,NULL,NULL,305,-0.0184731,-0.950888,0.0137504,2.59,37.5993992,126.8635576,NULL,NULL,0.03,-0.05,-0.02,LOITER,113.621
57,114,15.506,86,13.81,0.04,0.04,NULL,NULL,305,-0.0170336,-0.951461,0.0109964,2.59,37.5993997,126.8635575,NULL,NULL,-0.03,-0.05,-0.03,LOITER,115.634
58,116,15.478,86,14.21,0.17,0.17,NULL,NULL,305,-0.0315394,-0.952937,0.00745561,2.55,37.5993994,126.863558,NULL,NULL,-0.12,-0.05,0.01,LOITER,117.649
59,118,15.472,86,14.3,0.12,0.12,NULL,NULL,305,-0.033579,-0.954846,0.0140866,2.57,37.5993988,126.8635572,NULL,NULL,0,-0.04,0,LOITER,119.661
