id,voltage,battery_remaining,current_drawn,ground_speed,air_speed,nav_roll,nav_pitch,nav_bearing,pitch,yaw,roll,alt,lat,lon,payload,distance_frm_home,velocity_x,velocity_y,velocity_z,mode,flight_time
2,12.242,98,24.67,0.15,0.15,NULL,NULL,1,-0.011012,0.033182,0.0594851,9.83,37.5994476,126.863502,NULL,NULL,-0.04,0.33,0.1,GUIDED,34.7563
3,12.242,98,25.25,0.59,0.59,NULL,NULL,29,-0.0925818,0.510071,0.118811,9.88,37.599448,126.8635048,NULL,NULL,0.06,0.77,0.09,GUIDED,35.7703
4,12.242,97,25.09,0.97,0.97,NULL,NULL,48,-0.126415,0.8435,0.071439,9.92,37.5994486,126.8635102,NULL,NULL,0.16,1.14,0.06,GUIDED,36.7802
5,12.193,97,28.33,1.5,1.5,NULL,NULL,74,-0.179365,1.2956,-0.0202686,9.95,37.5994505,126.8635214,NULL,NULL,0.39,1.55,0.03,GUIDED,37.7902
6,12.242,97,25.59,1.93,1.93,NULL,NULL,72,-0.229976,1.25707,-0.0160245,9.97,37.5994543,126.8635365,NULL,NULL,0.75,2.03,0.02,GUIDED,38.8242
7,12.193,97,26.5,2.61,2.61,NULL,NULL,71,-0.273253,1.25271,0.0138186,9.97,37.5994598,126.863556,NULL,NULL,0.93,2.65,0,GUIDED,39.8342
8,12.193,97,26.75,3.52,3.52,NULL,NULL,72,-0.326237,1.26037,-0.00179305,9.97,37.5994686,126.8635902,NULL,NULL,1.19,3.48,0.01,GUIDED,40.8441
9,12.193,97,27.33,4.24,4.24,NULL,NULL,71,-0.382958,1.2563,0.00620213,9.97,37.5994797,126.8636334,NULL,NULL,1.46,4.32,0.01,GUIDED,41.8521
10,12.193,96,27.75,4.81,4.81,NULL,NULL,72,-0.424867,1.26117,0.000794693,9.97,37.5994895,126.8636719,NULL,NULL,1.69,4.96,0.01,GUIDED,42.8631
11,12.193,96,28.25,5.4,5.4,NULL,NULL,72,-0.451831,1.25706,0.00697096,9.96,37.5994969,126.8637006,NULL,NULL,1.84,5.41,0.01,GUIDED,43.876
12,12.193,96,28.99,6.42,6.42,NULL,NULL,71,-0.501743,1.25397,0.0115425,9.95,37.5995135,126.8637656,NULL,NULL,2.13,6.33,0.02,GUIDED,44.887
13,12.193,96,29.57,7.23,7.23,NULL,NULL,72,-0.530844,1.26,0.00473401,9.95,37.5995276,126.8638211,NULL,NULL,2.35,7,0.03,GUIDED,45.9
14,12.143,96,29.91,7.77,7.77,NULL,NULL,71,-0.551787,1.25245,0.00912142,9.96,37.599543,126.8638817,NULL,NULL,2.53,7.58,0.02,GUIDED,46.9129
15,12.143,95,30.41,8.57,8.57,NULL,NULL,72,-0.578676,1.25849,0.00689452,9.95,37.5995653,126.8639694,NULL,NULL,2.75,8.27,0.02,GUIDED,47.9279
16,12.143,95,30.9,9.14,9.14,NULL,NULL,72,-0.597515,1.26035,0.00366061,9.95,37.5995833,126.8640399,NULL,NULL,2.91,8.73,0.03,GUIDED,48.9399
17,12.143,95,31.4,9.53,9.53,NULL,NULL,72,-0.614937,1.26028,0.00128261,9.95,37.5996024,126.8641141,NULL,NULL,3.07,9.16,0.02,GUIDED,49.9509
18,12.143,95,31.4,10.03,10.03,NULL,NULL,71,-0.629602,1.24339,0.0198335,9.95,37.5996225,126.8641917,NULL,NULL,3.17,9.57,0.02,GUIDED,51.0159
19,12.143,95,31.82,10.26,10.26,NULL,NULL,71,-0.637587,1.25281,0.0139763,9.95,37.5996363,126.8642452,NULL,NULL,3.21,9.83,0.03,GUIDED,52.0499
20,12.143,95,31.9,10.66,10.66,NULL,NULL,71,-0.650916,1.25229,0.00594827,9.96,37.5996575,126.8643278,NULL,NULL,3.33,10.13,0.03,GUIDED,53.0588
21,12.143,94,32.57,10.85,10.85,NULL,NULL,71,-0.662974,1.25655,0.00319678,9.96,37.5996798,126.8644129,NULL,NULL,3.45,10.44,0.02,GUIDED,54.0718
22,12.143,94,32.65,11.32,11.32,NULL,NULL,72,-0.671941,1.25877,0.00209905,9.96,37.5997029,126.8645004,NULL,NULL,3.57,10.73,0.03,GUIDED,55.0818
23,12.143,94,32.9,11.63,11.63,NULL,NULL,72,-0.679022,1.2605,0.00282463,9.96,37.5997266,126.8645903,NULL,NULL,3.62,10.99,0.03,GUIDED,56.0897
24,12.143,94,33.06,11.97,11.97,NULL,NULL,71,-0.688212,1.2446,0.0168104,9.96,37.599759,126.8647131,NULL,NULL,3.7,11.31,0.03,GUIDED,57.0987
25,12.143,93,33.31,12.15,12.15,NULL,NULL,71,-0.693768,1.25556,0.00623744,9.96,37.5997838,126.8648072,NULL,NULL,3.71,11.51,0.03,GUIDED,58.1097
26,12.094,93,33.73,12.35,12.35,NULL,NULL,72,-0.701849,1.2585,-0.00647704,9.96,37.5998089,126.8649028,NULL,NULL,3.78,11.69,0.02,GUIDED,59.1206
27,12.094,93,33.73,12.62,12.62,NULL,NULL,71,-0.707423,1.24881,0.00798184,9.96,37.5998434,126.8650323,NULL,NULL,3.86,11.92,0.02,GUIDED,60.1316
28,12.094,93,33.9,12.75,12.75,NULL,NULL,71,-0.713065,1.25525,7.72959E-05,9.97,37.5998788,126.8651641,NULL,NULL,3.93,12.13,0.02,GUIDED,61.1446
29,12.094,92,33.98,12.95,12.95,NULL,NULL,71,-0.717443,1.25125,0.00695096,9.97,37.5999057,126.8652642,NULL,NULL,3.95,12.24,0.01,GUIDED,62.1555
30,12.094,92,34.14,13.1,13.1,NULL,NULL,71,-0.725139,1.24974,0.00435212,9.98,37.5999419,126.865399,NULL,NULL,3.99,12.4,0.01,GUIDED,63.1675
31,12.094,92,34.39,13.21,13.21,NULL,NULL,71,-0.726922,1.25005,0.0112055,9.98,37.5999695,126.8655014,NULL,NULL,4,12.55,0,GUIDED,64.1785
32,12.094,92,34.39,13.33,13.33,NULL,NULL,72,-0.731065,1.25814,-0.00307711,9.98,37.599997,126.8656046,NULL,NULL,4.04,12.65,0.01,GUIDED,65.1875
33,12.094,92,34.64,13.44,13.44,NULL,NULL,72,-0.734075,1.26097,-0.00036145,9.99,37.6000344,126.8657432,NULL,NULL,4.11,12.75,0,GUIDED,66.1984
34,12.094,91,34.56,13.51,13.51,NULL,NULL,72,-0.734023,1.26372,-0.00633939,9.99,37.6000627,126.8658478,NULL,NULL,4.14,12.82,0.01,GUIDED,67.2124
35,12.094,91,34.48,13.56,13.56,NULL,NULL,72,-0.741166,1.24857,0.0123871,9.99,37.6000909,126.8659528,NULL,NULL,4.13,12.88,0,GUIDED,68.2254
36,12.094,91,34.48,13.63,13.63,NULL,NULL,71,-0.745467,1.24082,0.0267893,10,37.6001097,126.8660232,NULL,NULL,4.09,12.96,0,GUIDED,69.2423
37,12.094,91,35.06,13.71,13.71,NULL,NULL,71,-0.746062,1.25288,0.0141875,9.99,37.6001282,126.8660941,NULL,NULL,4.05,13.06,0,GUIDED,70.2573
38,12.094,91,34.81,13.81,13.81,NULL,NULL,72,-0.748069,1.25781,-0.00478824,10,37.600156,126.8662013,NULL,NULL,4.11,13.13,0,GUIDED,71.2713
39,12.094,90,35.14,13.87,13.87,NULL,NULL,71,-0.748463,1.2551,0.00201272,10,37.6001843,126.8663089,NULL,NULL,4.18,13.19,0,GUIDED,72.2832
40,12.094,90,35.06,13.93,13.93,NULL,NULL,72,-0.749512,1.2583,0.000346315,10,37.6002034,126.8663809,NULL,NULL,4.2,13.23,0,GUIDED,73.2972
41,12.094,90,34.98,14.01,14.01,NULL,NULL,72,-0.750534,1.2572,0.00707893,10,37.6002416,126.8665255,NULL,NULL,4.18,13.27,0,GUIDED,74.3102
42,12.094,90,35.31,14.05,14.05,NULL,NULL,72,-0.757723,1.25731,0.00135093,10,37.6002701,126.8666342,NULL,NULL,4.2,13.33,-0.01,GUIDED,75.3202
43,12.094,89,35.06,14.15,14.15,NULL,NULL,71,-0.755066,1.24722,0.0157053,10,37.6003084,126.8667802,NULL,NULL,4.19,13.41,0,GUIDED,76.3331
44,12.094,89,35.47,14.21,14.21,NULL,NULL,72,-0.761035,1.26262,0.00071527,10,37.6003464,126.8669273,NULL,NULL,4.2,13.52,0,GUIDED,77.3471
45,12.094,89,35.31,14.29,14.29,NULL,NULL,71,-0.758165,1.25447,0.00490696,10,37.6003848,126.8670752,NULL,NULL,4.29,13.55,0,GUIDED,78.3581
46,12.094,89,35.31,14.3,14.3,NULL,NULL,72,-0.758912,1.26111,0.00284078,10.01,37.6004137,126.8671862,NULL,NULL,4.27,13.56,-0.01,GUIDED,79.366
47,12.094,88,35.47,14.32,14.32,NULL,NULL,72,-0.761406,1.25823,0.00309144,10.01,37.6004425,126.8672973,NULL,NULL,4.28,13.57,-0.01,GUIDED,80.381
48,12.094,88,35.56,14.38,14.38,NULL,NULL,71,-0.767002,1.25567,0.0061498,10.01,37.6004809,126.8674459,NULL,NULL,4.28,13.63,-0.01,GUIDED,81.392
49,12.094,88,35.56,14.46,14.46,NULL,NULL,71,-0.766444,1.25026,0.0150116,10.01,37.6005098,126.867558,NULL,NULL,4.28,13.71,-0.01,GUIDED,82.417
