id,voltage,battery_remaining,current_drawn,ground_speed,air_speed,nav_roll,nav_pitch,nav_bearing,pitch,yaw,roll,alt,lat,lon,payload,distance_frm_home,velocity_x,velocity_y,velocity_z,mode,flight_time
2,12.242,98,23.92,0.14,0.14,NULL,NULL,2,-0.00743515,0.044002,0.0686753,9.77,37.5994482,126.863501,NULL,NULL,-0.13,0.22,0.12,GUIDED,34.9565
3,12.242,98,25.42,0.6,0.6,NULL,NULL,29,-0.0981061,0.520263,0.123798,9.86,37.5994483,126.8635046,NULL,NULL,0.01,0.86,0.09,GUIDED,35.9765
4,12.242,97,25.25,1.01,1.01,NULL,NULL,49,-0.131678,0.856572,0.068679,9.91,37.5994489,126.8635101,NULL,NULL,0.12,1.23,0.07,GUIDED,37.0195
5,12.193,97,28.25,1.56,1.56,NULL,NULL,74,-0.187371,1.30044,-0.0231373,9.96,37.5994509,126.8635218,NULL,NULL,0.39,1.64,0.02,GUIDED,38.0515
6,12.193,97,26.42,1.84,1.84,NULL,NULL,74,-0.218752,1.29307,-0.0326586,9.98,37.5994533,126.8635316,NULL,NULL,0.65,1.96,0,GUIDED,39.0704
7,12.242,97,25.67,2.5,2.5,NULL,NULL,71,-0.242309,1.23939,0.0149144,9.99,37.5994585,126.86355,NULL,NULL,0.88,2.48,0,GUIDED,40.0884
8,12.242,97,26.17,2.78,2.78,NULL,NULL,72,-0.241092,1.25751,0.0128255,9.99,37.5994624,126.8635646,NULL,NULL,0.93,2.76,0,GUIDED,41.1074
9,12.242,97,26.25,3.18,3.18,NULL,NULL,72,-0.253988,1.26266,0.00314983,9.99,37.5994687,126.8635889,NULL,NULL,1.03,3.06,0,GUIDED,42.1274
10,12.242,97,26.25,3.44,3.44,NULL,NULL,72,-0.272385,1.25758,0.00401516,9.99,37.5994754,126.8636156,NULL,NULL,1.14,3.32,0,GUIDED,43.1483
11,12.242,96,26.25,3.77,3.77,NULL,NULL,71,-0.287813,1.24905,0.0108613,9.99,37.5994852,126.8636547,NULL,NULL,1.25,3.66,0,GUIDED,44.1723
12,12.193,96,26.5,4.09,4.09,NULL,NULL,71,-0.297637,1.25351,0.0102197,9.99,37.5994904,126.8636758,NULL,NULL,1.3,3.83,0,GUIDED,45.2203
13,12.193,96,26.58,4.29,4.29,NULL,NULL,72,-0.305694,1.2567,0.00583664,9.98,37.5994985,126.863709,NULL,NULL,1.37,4.02,0.01,GUIDED,46.2443
14,12.193,96,26.58,4.46,4.46,NULL,NULL,71,-0.308489,1.25468,0.0066175,9.98,37.5995042,126.863732,NULL,NULL,1.42,4.12,0,GUIDED,47.2713
15,12.193,96,26.75,4.6,4.6,NULL,NULL,72,-0.314108,1.25737,0.00267245,9.97,37.599513,126.8637676,NULL,NULL,1.49,4.27,0.01,GUIDED,48.2933
16,12.193,96,26.75,4.72,4.72,NULL,NULL,71,-0.313106,1.25305,0.00483612,9.97,37.5995191,126.863792,NULL,NULL,1.52,4.34,0.01,GUIDED,49.3143
17,12.193,96,26.92,4.78,4.78,NULL,NULL,71,-0.313545,1.25534,0.0062603,9.97,37.5995285,126.8638292,NULL,NULL,1.54,4.4,0.02,GUIDED,50.3442
18,12.193,96,26.92,4.82,4.82,NULL,NULL,72,-0.315906,1.25909,0.00598707,9.97,37.5995316,126.8638417,NULL,NULL,1.55,4.41,0.02,GUIDED,51.3832
19,12.193,95,26.83,4.9,4.9,NULL,NULL,71,-0.314787,1.25171,0.0059194,9.97,37.5995412,126.8638796,NULL,NULL,1.56,4.47,0.02,GUIDED,52.4863
20,12.193,95,26.83,4.92,4.92,NULL,NULL,71,-0.316128,1.25107,0.00445365,9.97,37.5995476,126.8639051,NULL,NULL,1.56,4.49,0.02,GUIDED,53.5053
21,12.193,95,27,4.98,4.98,NULL,NULL,71,-0.320977,1.2525,0.00105043,9.97,37.5995574,126.8639436,NULL,NULL,1.59,4.54,0.02,GUIDED,54.5273
22,12.193,95,27,5,5,NULL,NULL,72,-0.320774,1.26048,-8.74E-05,9.97,37.5995642,126.8639695,NULL,NULL,1.6,4.56,0.02,GUIDED,55.5492
23,12.193,95,26.92,5.04,5.04,NULL,NULL,71,-0.317977,1.25376,0.00296342,9.97,37.5995744,126.8640086,NULL,NULL,1.61,4.59,0.02,GUIDED,56.5732
24,12.193,95,27,5.04,5.04,NULL,NULL,72,-0.316386,1.25802,-0.00132645,9.97,37.5995847,126.8640477,NULL,NULL,1.6,4.6,0.02,GUIDED,57.5972
25,12.193,95,27,5.04,5.04,NULL,NULL,71,-0.317737,1.25558,-0.000563965,9.96,37.5995952,126.8640867,NULL,NULL,1.6,4.58,0.02,GUIDED,58.6202
26,12.193,94,27.17,5.05,5.05,NULL,NULL,71,-0.32193,1.25653,0.000568618,9.97,37.5996059,126.8641256,NULL,NULL,1.58,4.6,0.02,GUIDED,59.6422
27,12.193,94,27,5.07,5.07,NULL,NULL,71,-0.320499,1.25144,0.00312339,9.97,37.5996165,126.8641647,NULL,NULL,1.56,4.62,0.02,GUIDED,60.6601
28,12.193,94,26.92,5.08,5.08,NULL,NULL,71,-0.317792,1.25489,0.00200771,9.97,37.5996272,126.8642039,NULL,NULL,1.54,4.63,0.02,GUIDED,61.6801
29,12.193,94,27.08,5.06,5.06,NULL,NULL,72,-0.317521,1.2601,-0.00280184,9.97,37.5996379,126.864243,NULL,NULL,1.52,4.62,0.02,GUIDED,62.7021
30,12.193,94,26.83,5.05,5.05,NULL,NULL,71,-0.318693,1.25036,0.00493878,9.97,37.5996524,126.8642948,NULL,NULL,1.51,4.61,0.02,GUIDED,63.7231
31,12.193,93,26.92,5.04,5.04,NULL,NULL,71,-0.317937,1.25117,0.00629703,9.97,37.5996596,126.8643207,NULL,NULL,1.48,4.62,0.02,GUIDED,64.747
32,12.193,93,26.92,5.03,5.03,NULL,NULL,72,-0.317078,1.25827,0.00419986,9.97,37.5996704,126.8643596,NULL,NULL,1.46,4.64,0.01,GUIDED,65.764
33,12.193,93,26.75,5.03,5.03,NULL,NULL,71,-0.3141,1.25216,0.00546283,9.97,37.599681,126.8643985,NULL,NULL,1.44,4.64,0.02,GUIDED,66.782
34,12.193,93,26.92,5.02,5.02,NULL,NULL,71,-0.312967,1.25269,0.00634592,9.97,37.5996881,126.8644244,NULL,NULL,1.42,4.64,0.01,GUIDED,67.803
35,12.193,93,27.08,5,5,NULL,NULL,71,-0.314048,1.25472,0.00957286,9.97,37.5996987,126.8644632,NULL,NULL,1.4,4.64,0.01,GUIDED,68.8169
36,12.193,93,26.75,4.99,4.99,NULL,NULL,71,-0.31624,1.25025,0.00933834,9.98,37.5997091,126.8645019,NULL,NULL,1.38,4.65,0.01,GUIDED,69.8309
37,12.193,93,26.83,5,5,NULL,NULL,71,-0.313552,1.25103,0.0100157,9.98,37.599716,126.8645277,NULL,NULL,1.37,4.65,0.01,GUIDED,70.8469
38,12.193,93,27,4.98,4.98,NULL,NULL,72,-0.315321,1.25874,0.00300227,9.98,37.5997263,126.8645664,NULL,NULL,1.36,4.65,0,GUIDED,71.8849
39,12.193,92,27.17,4.99,4.99,NULL,NULL,72,-0.316164,1.25719,0.00433227,9.98,37.5997332,126.8645921,NULL,NULL,1.38,4.65,0.01,GUIDED,72.9189
40,12.193,92,26.67,4.99,4.99,NULL,NULL,71,-0.314776,1.2452,0.0167131,9.99,37.5997435,126.8646308,NULL,NULL,1.36,4.65,0.01,GUIDED,73.9298
41,12.193,92,26.92,4.98,4.98,NULL,NULL,72,-0.312261,1.25903,0.00806178,9.99,37.5997535,126.8646695,NULL,NULL,1.32,4.64,0,GUIDED,74.9418
42,12.193,92,27,4.96,4.96,NULL,NULL,72,-0.315315,1.2601,0.0040075,9.99,37.5997636,126.8647081,NULL,NULL,1.34,4.64,0,GUIDED,75.9528
43,12.193,92,26.75,4.97,4.97,NULL,NULL,71,-0.317233,1.24753,0.012488,9.99,37.5997736,126.8647467,NULL,NULL,1.34,4.65,0,GUIDED,76.9628
44,12.193,92,27,4.98,4.98,NULL,NULL,71,-0.315436,1.25654,0.00991778,9.99,37.5997836,126.8647854,NULL,NULL,1.32,4.67,0,GUIDED,77.9757
45,12.193,91,26.75,4.98,4.98,NULL,NULL,71,-0.314638,1.25288,0.00526828,10,37.5997935,126.8648242,NULL,NULL,1.32,4.66,0,GUIDED,78.9897
46,12.193,91,26.83,4.98,4.98,NULL,NULL,71,-0.314782,1.25445,0.00621011,10,37.5998035,126.8648628,NULL,NULL,1.34,4.64,0,GUIDED,80.0057
47,12.193,91,27,4.98,4.98,NULL,NULL,72,-0.316957,1.26064,0.00692281,10,37.5998101,126.8648886,NULL,NULL,1.33,4.66,0,GUIDED,81.0196
48,12.193,91,26.92,4.99,4.99,NULL,NULL,71,-0.314972,1.25547,0.00470594,10,37.5998201,126.8649273,NULL,NULL,1.32,4.67,0,GUIDED,82.0476
49,12.193,91,26.92,4.98,4.98,NULL,NULL,72,-0.315087,1.25677,0.0054344,10,37.5998301,126.8649661,NULL,NULL,1.32,4.66,0,GUIDED,83.0616
50,12.193,91,26.92,4.98,4.98,NULL,NULL,71,-0.316598,1.25405,0.00446034,10,37.5998368,126.8649918,NULL,NULL,1.33,4.66,0,GUIDED,84.0746
51,12.193,91,26.75,4.98,4.98,NULL,NULL,71,-0.317357,1.25097,0.00568588,10,37.5998435,126.8650176,NULL,NULL,1.33,4.67,0,GUIDED,85.0925
52,12.193,90,27,4.99,4.99,NULL,NULL,71,-0.317108,1.25611,0.00615374,10,37.5998502,126.8650435,NULL,NULL,1.33,4.68,0,GUIDED,86.1275
53,12.193,90,26.92,4.99,4.99,NULL,NULL,71,-0.315981,1.24931,0.00924056,10,37.5998569,126.8650694,NULL,NULL,1.34,4.68,0,GUIDED,87.2266
