id,voltage,battery_remaining,current_drawn,ground_speed,air_speed,nav_roll,nav_pitch,nav_bearing,pitch,yaw,roll,alt,lat,lon,payload,distance_frm_home,velocity_x,velocity_y,velocity_z,mode,flight_time
2,12.242,98,24.01,0.19,0.19,NULL,NULL,6,-0.0230505,0.116006,0.0769314,9.76,37.5994472,126.8635019,NULL,NULL,-0.05,0.21,0.12,GUIDED,46.6076
3,12.242,98,25.42,0.57,0.57,NULL,NULL,34,-0.118626,0.77079,0.0847294,9.88,37.5994479,126.8635087,NULL,NULL,0.14,1.02,0.09,GUIDED,47.6506
4,12.193,97,27.75,1.37,1.37,NULL,NULL,72,-0.161391,1.25879,-0.00960255,9.94,37.5994495,126.8635193,NULL,NULL,0.34,1.41,0.05,GUIDED,48.6876
5,12.242,97,25,1.91,1.91,NULL,NULL,71,-0.167338,1.24769,-0.0044446,9.97,37.5994542,126.8635379,NULL,NULL,0.73,1.78,0.02,GUIDED,49.7216
6,12.242,97,25.67,2.18,2.18,NULL,NULL,71,-0.170728,1.25262,0.0148109,9.98,37.5994587,126.8635544,NULL,NULL,0.73,2.01,0.01,GUIDED,50.7626
7,12.242,97,25.75,2.33,2.33,NULL,NULL,72,-0.182804,1.25989,-0.000469682,9.99,37.5994631,126.8635726,NULL,NULL,0.78,2.18,0,GUIDED,51.8026
8,12.242,97,25.75,2.48,2.48,NULL,NULL,71,-0.188929,1.2515,-0.00022712,9.98,37.5994662,126.8635855,NULL,NULL,0.85,2.29,0,GUIDED,52.8406
9,12.242,97,25.75,2.6,2.6,NULL,NULL,71,-0.178343,1.25622,0.00273904,9.98,37.5994729,126.8636127,NULL,NULL,0.88,2.41,0.01,GUIDED,53.8836
10,12.242,96,25.92,2.65,2.65,NULL,NULL,71,-0.179576,1.25612,0.00190217,9.98,37.5994746,126.8636196,NULL,NULL,0.89,2.42,0.01,GUIDED,55.1929
11,12.242,96,26,2.68,2.68,NULL,NULL,71,-0.187178,1.25755,-0.00245453,9.98,37.5994797,126.8636407,NULL,NULL,0.92,2.47,0.01,GUIDED,56.2559
12,12.242,96,26,2.76,2.76,NULL,NULL,72,-0.190472,1.25821,-0.00224289,9.97,37.5994851,126.8636623,NULL,NULL,0.97,2.54,0.01,GUIDED,57.369
13,12.242,96,25.75,2.82,2.82,NULL,NULL,71,-0.190065,1.25587,-0.00217244,9.97,37.5994907,126.8636844,NULL,NULL,1,2.59,0.02,GUIDED,58.435
14,12.242,96,26,2.87,2.87,NULL,NULL,71,-0.190697,1.25388,0.000890849,9.97,37.5994946,126.8636992,NULL,NULL,0.99,2.61,0.02,GUIDED,59.51
15,12.242,96,26,2.9,2.9,NULL,NULL,72,-0.192316,1.25883,-0.00402464,9.97,37.5995003,126.8637217,NULL,NULL,1,2.62,0.02,GUIDED,60.549
16,12.242,96,26,2.94,2.94,NULL,NULL,71,-0.195527,1.25186,-0.000935145,9.97,37.5995081,126.8637519,NULL,NULL,1,2.66,0.02,GUIDED,61.584
17,12.242,95,26.08,2.98,2.98,NULL,NULL,71,-0.194924,1.25478,-0.00228355,9.96,37.5995141,126.8637749,NULL,NULL,1.02,2.69,0.02,GUIDED,62.622
18,12.242,95,26,3,3,NULL,NULL,71,-0.194145,1.2564,-0.00159773,9.97,37.5995224,126.8638058,NULL,NULL,1,2.7,0.02,GUIDED,63.669
19,12.242,95,26.17,3.01,3.01,NULL,NULL,72,-0.193006,1.25678,-0.00314627,9.96,37.5995307,126.8638368,NULL,NULL,0.99,2.71,0.02,GUIDED,64.704
20,12.242,95,26,3.01,3.01,NULL,NULL,72,-0.191349,1.25705,-0.00293518,9.96,37.5995371,126.8638601,NULL,NULL,0.97,2.72,0.03,GUIDED,65.741
